ano,Feminino,Masculino,razao_mf,dif_abs
2000,1.6019373658949783,6.454366569768634,4.029,4.852
2001,1.7872206574112466,7.273942197819103,4.07,5.487
2002,1.9214975684718683,7.000504482273905,3.643,5.079
2003,1.8017756521517987,7.16655183305985,3.977,5.365
2004,1.872391061494821,7.035854484794232,3.758,5.163
2005,1.9588144768609368,7.404832177834379,3.78,5.446
2006,1.9375397302987631,7.392763231212597,3.816,5.455
2007,2.0003843259757907,7.503935221946689,3.751,5.504
2008,2.0533753742928487,7.881803259973677,3.838,5.828
2009,1.9321749414724907,7.967810301352467,4.124,6.036
2010,2.1294559443454517,7.8955547116977,3.708,5.766
2011,2.1262272626508487,8.246029829317061,3.878,6.12
2012,2.2774926741072767,8.502823188343303,3.733,6.225
2013,2.162060613578408,8.460085709658799,3.913,6.298
2014,2.151624009283376,8.505201149219467,3.953,6.354
2015,2.2880275235578025,8.803679344369343,3.848,6.516
2016,2.251221557500724,9.012453691836722,4.003,6.761
2017,2.5009701820985115,9.715028532186533,3.885,7.214
2018,2.549888846243319,9.854083191976335,3.865,7.304
2019,2.7040086775797767,10.371218179666174,3.835,7.667
2020,2.722858479614251,10.56176151367574,3.879,7.839
2021,3.1265160436200294,11.647162384276477,3.725,8.521
2022,3.3984284301063648,13.100255285490725,3.855,9.702
