ano,obitos,grupo,populacao,taxa
2000,1382,Feminino,86270539,1.6019373658949783
2001,1560,Feminino,87286368,1.7872206574112466
2002,1694,Feminino,88160403,1.9214975684718683
2003,1604,Feminino,89023292,1.8017756521517987
2004,1706,Feminino,91113445,1.872391061494821
2005,1805,Feminino,92147573,1.9588144768609368
2006,1805,Feminino,93159380,1.9375397302987631
2007,1872,Feminino,93582017,2.0003843259757907
2008,1953,Feminino,95111689,2.0533753742928487
2009,1872,Feminino,96885637,1.9321749414724907
2010,2073,Feminino,97348809,2.1294559443454517
2011,2089,Feminino,98249140,2.1262272626508487
2012,2257,Feminino,99100209,2.2774926741072767
2013,2223,Feminino,102818579,2.162060613578408
2014,2233,Feminino,103782073,2.151624009283376
2015,2396,Feminino,104719020,2.2880275235578025
2016,2378,Feminino,105631540,2.251221557500724
2017,2664,Feminino,106518663,2.5009701820985115
2018,2729,Feminino,107024273,2.549888846243319
2019,2919,Feminino,107950837,2.7040086775797767
2020,2964,Feminino,108856190,2.722858479614251
2021,3431,Feminino,109738762,3.1265160436200294
2022,3553,Feminino,104548325,3.3984284301063648
2000,5396,Masculino,83602317,6.454366569768634
2001,6177,Masculino,84919564,7.273942197819103
2002,6028,Masculino,86108080,7.000504482273905
2003,6256,Masculino,87294422,7.16655183305985
2004,6311,Masculino,89697705,7.035854484794232
2005,6744,Masculino,91075663,7.404832177834379
2006,6834,Masculino,92441754,7.392763231212597
2007,6996,Masculino,93231082,7.503935221946689
2008,7375,Masculino,93569958,7.881803259973677
2009,7500,Masculino,94128747,7.967810301352467
2010,7375,Masculino,93406990,7.8955547116977
2011,7762,Masculino,94130147,8.246029829317061
2012,8061,Masculino,94803806,8.502823188343303
2013,8309,Masculino,98214135,8.460085709658799
2014,8419,Masculino,98986489,8.505201149219467
2015,8780,Masculino,99731029,8.803679344369343
2016,9053,Masculino,100449892,9.012453691836722
2017,9826,Masculino,101142266,9.715028532186533
2018,9999,Masculino,101470627,9.854083191976335
2019,10599,Masculino,102196288,10.371218179666174
2020,10868,Masculino,102899502,10.56176151367574
2021,12064,Masculino,103578877,11.647162384276477
2022,12908,Masculino,98532431,13.100255285490725
2000,6778,Total,169872856,3.990043000160073
2001,7737,Total,172385826,4.488188025389048
2002,7722,Total,174632960,4.421845681365076
2003,7860,Total,176871437,4.443905773208594
2004,8017,Total,181569056,4.415399945682374
2005,8549,Total,184184264,4.6415474451172445
2006,8639,Total,186770562,4.625461265143058
2007,8868,Total,188187784,4.71231437636781
2008,9328,Total,189605006,4.9197013289828435
2009,9372,Total,191480630,4.894489849965503
2010,9448,Total,190755799,4.952929373329301
2011,9851,Total,192379287,5.120613634460554
2012,10318,Total,193904015,5.321189455514884
2013,10532,Total,201032714,5.238948323604684
2014,10652,Total,202768562,5.253279845225711
2015,11176,Total,204450049,5.466371886269394
2016,11431,Total,206081432,5.546836456377108
2017,12490,Total,207660929,6.014612406939584
2018,12728,Total,208494900,6.104705678652092
2019,13518,Total,210147125,6.4326361828647425
2020,13832,Total,211755692,6.532055818362606
2021,15495,Total,213317639,7.263815628486307
2022,16461,Total,203080756,8.105642466684534
