ano,faixa_etaria,obitos,populacao_total,taxa_aprox
2000,< 15 anos,84,169872856,0.04944874771517351
2000,15–29 anos,2142,169872856,1.2609430667369246
2000,30–44 anos,2119,169872856,1.2474035286720557
2000,45–59 anos,1414,169872856,0.8323872532054208
2000,60+ anos,1000,169872856,0.58867556803778
2001,< 15 anos,111,172385826,0.06439044472252609
2001,15–29 anos,2539,172385826,1.4728589112657093
2001,30–44 anos,2354,172385826,1.3655415033948324
2001,45–59 anos,1631,172385826,0.9461334715535139
2001,60+ anos,1072,172385826,0.6218608715544861
2002,< 15 anos,110,174632960,0.06298925472030022
2002,15–29 anos,2514,174632960,1.4395907851530432
2002,30–44 anos,2405,174632960,1.3771741600211096
2002,45–59 anos,1623,174632960,0.9293778219186115
2002,60+ anos,1044,174632960,0.5978252902544858
2003,< 15 anos,105,176871437,0.05936515345889343
2003,15–29 anos,2613,176871437,1.477344247505605
2003,30–44 anos,2406,176871437,1.3603100878295007
2003,45–59 anos,1660,176871437,0.9385348070644103
2003,60+ anos,1051,176871437,0.5942169170028284
2004,< 15 anos,110,181569056,0.06058301035612588
2004,15–29 anos,2586,181569056,1.4242514980085594
2004,30–44 anos,2494,181569056,1.373582071165254
2004,45–59 anos,1669,181569056,0.91920949349431
2004,60+ anos,1134,181569056,0.6245557613076977
2005,< 15 anos,108,184184264,0.05863693111155251
2005,15–29 anos,2597,184184264,1.410001019413906
2005,30–44 anos,2674,184184264,1.4518069795582538
2005,45–59 anos,1873,184184264,1.0169164071475725
2005,60+ anos,1275,184184264,0.692241547844717
2006,< 15 anos,125,186770562,0.06692703532155136
2006,15–29 anos,2668,186770562,1.4284906419031924
2006,30–44 anos,2665,186770562,1.426884393055475
2006,45–59 anos,1956,186770562,1.0472742487116358
2006,60+ anos,1200,186770562,0.6424995390868932
2007,< 15 anos,118,188187784,0.06270332616276517
2007,15–29 anos,2737,188187784,1.4543983365041377
2007,30–44 anos,2727,188187784,1.4490844953039035
2007,45–59 anos,1962,188187784,1.0425756434859768
2007,60+ anos,1308,188187784,0.6950504289906512
2008,< 15 anos,103,189605006,0.05432346021496922
2008,15–29 anos,2865,189605006,1.511036053552299
2008,30–44 anos,2827,189605006,1.4909943886186212
2008,45–59 anos,2128,189605006,1.1223332362859662
2008,60+ anos,1376,189605006,0.7257192354931811
2009,< 15 anos,114,191480630,0.05953604811097603
2009,15–29 anos,2775,191480630,1.4492327500698112
2009,30–44 anos,2935,191480630,1.5327921158396023
2009,45–59 anos,2139,191480630,1.1170842711348923
2009,60+ anos,1378,191480630,0.7196550376923242
2010,< 15 anos,104,190755799,0.054519967699645136
2010,15–29 anos,2815,190755799,1.4757087411009717
2010,30–44 anos,2951,190755799,1.547004083477431
2010,45–59 anos,2127,190755799,1.115038185549473
2010,60+ anos,1425,190755799,0.7470284035768684
2011,< 15 anos,110,192379287,0.05717871279978286
2011,15–29 anos,2954,192379287,1.5355083419141689
2011,30–44 anos,3032,192379287,1.576053247354015
2011,45–59 anos,2220,192379287,1.1539703855956178
2011,60+ anos,1501,192379287,0.7802295264770369
2012,< 15 anos,120,193904015,0.06188628946130898
2012,15–29 anos,2899,193904015,1.4950696095694564
2012,30–44 anos,3241,193904015,1.671445534534187
2012,45–59 anos,2359,193904015,1.2165813069935658
2012,60+ anos,1668,193904015,0.8602194235121949
2013,< 15 anos,122,201032714,0.06068664028482449
2013,15–29 anos,2872,201032714,1.4286232040820976
2013,30–44 anos,3299,201032714,1.6410264450789835
2013,45–59 anos,2525,201032714,1.2560144813047691
2013,60+ anos,1688,201032714,0.8396643344326536
2014,< 15 anos,146,202768562,0.07200327238105086
2014,15–29 anos,2897,202768562,1.4287224663555091
2014,30–44 anos,3383,202768562,1.6684045922266788
2014,45–59 anos,2520,202768562,1.2427962082208779
2014,60+ anos,1676,202768562,0.8265581130865839
2015,< 15 anos,135,204450049,0.06603079855461419
2015,15–29 anos,2936,204450049,1.436047589306276
2015,30–44 anos,3450,204450049,1.6874537408401404
2015,45–59 anos,2690,204450049,1.315724800828979
2015,60+ anos,1940,204450049,0.9488870310811225
2016,< 15 anos,148,206081432,0.07181627115246365
2016,15–29 anos,2954,206081432,1.433413952597146
2016,30–44 anos,3448,206081432,1.6731250198222614
2016,45–59 anos,2857,206081432,1.3863451802877613
2016,60+ anos,1994,206081432,0.9675786802568414
2017,< 15 anos,182,207660929,0.08764287094179378
2017,15–29 anos,3263,207660929,1.571311471885017
2017,30–44 anos,3783,207660929,1.8217196745758562
2017,45–59 anos,3031,207660929,1.4595908891460272
2017,60+ anos,2205,207660929,1.0618270902563476
2018,< 15 anos,167,208494900,0.08009788249017122
2018,15–29 anos,3396,208494900,1.6288168199797692
2018,30–44 anos,3838,208494900,1.8408124131573482
2018,45–59 anos,3017,208494900,1.4470377932505782
2018,60+ anos,2278,208494900,1.092592672530599
2019,< 15 anos,191,210147125,0.09088870475863041
2019,15–29 anos,3862,210147125,1.8377600930776474
2019,30–44 anos,4003,210147125,1.9048559431874217
2019,45–59 anos,3157,210147125,1.502280842528776
2019,60+ anos,2292,210147125,1.0906644571035649
2020,< 15 anos,168,211755692,0.0793367103444851
2020,15–29 anos,3771,211755692,1.780825801839603
2020,30–44 anos,4012,211755692,1.8946362017980607
2020,45–59 anos,3240,211755692,1.5300651280722124
2020,60+ anos,2618,211755692,1.236330402868226
2021,< 15 anos,224,213317639,0.10500772512300308
2021,15–29 anos,4234,213317639,1.9848335186196207
2021,30–44 anos,4545,213317639,2.1306254941252187
2021,45–59 anos,3655,213317639,1.7134073005561437
2021,60+ anos,2811,213317639,1.3177531933962574
2022,< 15 anos,207,203080756,0.10192989433228226
2022,15–29 anos,4457,203080756,2.1946934253090924
2022,30–44 anos,5127,203080756,2.5246114407807307
2022,45–59 anos,3802,203080756,1.872161634064431
2022,60+ anos,2845,203080756,1.4009205283833
