ano,regiao,obitos,populacao_total,taxa
2000,Centro-Oeste,728,11638658,6.255016686631741
2001,Centro-Oeste,692,11885529,5.822206146651108
2002,Centro-Oeste,792,12101540,6.544621593615359
2003,Centro-Oeste,763,12317271,6.19455397222323
2004,Centro-Oeste,784,12760734,6.143847211296779
2005,Centro-Oeste,771,13020767,5.921310165522508
2006,Centro-Oeste,764,13269517,5.757556963075596
2007,Centro-Oeste,746,13482733,5.533002841486218
2008,Centro-Oeste,857,13695949,6.2573247023627205
2009,Centro-Oeste,831,13895375,5.980407149861016
2010,Centro-Oeste,812,14058094,5.776031942879312
2011,Centro-Oeste,807,14244192,5.665467019821131
2012,Centro-Oeste,932,14419229,6.463591083822859
2013,Centro-Oeste,956,14993191,6.376227715634383
2014,Centro-Oeste,950,15219608,6.241947887225479
2015,Centro-Oeste,940,15442232,6.0872029380208765
2016,Centro-Oeste,1034,15660988,6.602393156804666
2017,Centro-Oeste,1120,15875907,7.054715047146598
2018,Centro-Oeste,1180,16085885,7.3356237471547265
2019,Centro-Oeste,1283,16297074,7.872578844521415
2020,Centro-Oeste,1298,16504303,7.864615670228546
2021,Centro-Oeste,1412,16707336,8.45137728719887
2022,Centro-Oeste,1593,16289538,9.779282874689263
2000,Nordeste,1133,47782487,2.3711616350149374
2001,Nordeste,1434,48331186,2.9670283696328084
2002,Nordeste,1542,48845112,3.156917728021588
2003,Nordeste,1620,49352225,3.282526775641828
2004,Nordeste,1651,50424713,3.2741881941896227
2005,Nordeste,1895,51019091,3.7142958897484077
2006,Nordeste,1961,51609027,3.79972286631174
2007,Nordeste,2168,52344853,4.141763470039738
2008,Nordeste,2202,53080679,4.148402095609967
2009,Nordeste,2101,53591197,3.92041998987259
2010,Nordeste,2123,53081950,3.9994762814855145
2011,Nordeste,2297,53501859,4.293308761476868
2012,Nordeste,2335,53907144,4.331522367424992
2013,Nordeste,2494,55794707,4.469958055340268
2014,Nordeste,2393,56186190,4.259053692731256
2015,Nordeste,2540,56559481,4.4908474319274605
2016,Nordeste,2721,56915936,4.780734871864358
2017,Nordeste,2980,57254159,5.204862060763132
2018,Nordeste,2995,56760780,5.276530731254926
2019,Nordeste,3081,57071654,5.3984767990077875
2020,Nordeste,3239,57374243,5.645390388854455
2021,Nordeste,3791,57667842,6.5738544542728
2022,Nordeste,3837,54658515,7.0199492247456785
2000,Norte,372,12911170,2.881226101120193
2001,Norte,439,13245084,3.3144372659320247
2002,Norte,393,13504599,2.910119730322981
2003,Norte,437,13784881,3.170139807518106
2004,Norte,447,14373260,3.10994165554648
2005,Norte,476,14698878,3.2383424095362923
2006,Norte,478,15022060,3.181987024416092
2007,Norte,542,15082373,3.59359896483133
2008,Norte,620,15142686,4.094385896927401
2009,Norte,593,15359608,3.860775613544304
2010,Norte,624,15864454,3.9333216258183232
2011,Norte,692,16095187,4.299421932780278
2012,Norte,694,16303145,4.25684737515369
2013,Norte,759,16983484,4.469047693629882
2014,Norte,707,17231027,4.1030636189009515
2015,Norte,879,17472636,5.030723469544035
2016,Norte,826,17707783,4.6646155535111316
2017,Norte,894,17936201,4.984333081459112
2018,Norte,991,18182253,5.450369654409715
2019,Norte,1058,18430980,5.740335022879956
2020,Norte,1119,18672591,5.992740910996229
2021,Norte,1209,18906962,6.3944699312348545
2022,Norte,1312,17354884,7.55983157248415
2000,Sudeste,2511,72430193,3.466786288972059
2001,Sudeste,3010,73470763,4.0968677567701315
2002,Sudeste,2948,74447456,3.959839809704176
2003,Sudeste,3007,75391969,3.9884884821087505
2004,Sudeste,2984,77374720,3.8565567668613214
2005,Sudeste,3211,78472017,4.0919045065453075
2006,Sudeste,3305,79561095,4.154040363572171
2007,Sudeste,3227,79874400.5,4.040092920634816
2008,Sudeste,3404,80187706,4.245039757091941
2009,Sudeste,3568,80915332,4.409547500837048
2010,Sudeste,3735,80364410,4.647579693548425
2011,Sudeste,3899,80975616,4.815029749202526
2012,Sudeste,4000,81565983,4.904005141457071
2013,Sudeste,3958,84465570,4.685932978372134
2014,Sudeste,4283,85115623,5.031978676817063
2015,Sudeste,4323,85745520,5.041662818069096
2016,Sudeste,4248,86356952,4.919117571449256
2017,Sudeste,4635,86949714,5.330667332614803
2018,Sudeste,4671,87711946,5.325386350452195
2019,Sudeste,4930,88371433,5.578725876268183
2020,Sudeste,5045,89012240,5.6677598496566315
2021,Sudeste,5605,89632912,6.253283392153988
2022,Sudeste,6022,84840113,7.098057495515123
2000,Sul,2034,25110348,8.100246161462994
2001,Sul,2162,25453264,8.493999040751708
2002,Sul,2047,25734253,7.954378936120664
2003,Sul,2033,26025091,7.8116921858217525
2004,Sul,2151,26635629,8.075649349223177
2005,Sul,2196,26973511,8.141320571875125
2006,Sul,2131,27308863,7.8033274398864565
2007,Sul,2185,27403424.5,7.973456018243267
2008,Sul,2245,27497986,8.164234282467088
2009,Sul,2279,27719118,8.221762323029182
2010,Sul,2154,27386891,7.8650767624554385
2011,Sul,2156,27562433,7.822241236831307
2012,Sul,2357,27708514,8.506410701057444
2013,Sul,2365,28795762,8.213014123397743
2014,Sul,2319,29016114,7.992110866396514
2015,Sul,2494,29230180,8.532277255904685
2016,Sul,2602,29439773,8.838383366610877
2017,Sul,2861,29644948,9.650885540430025
2018,Sul,2891,29754036,9.716328904085483
2019,Sul,3166,29975984,10.561788397004749
2020,Sul,3131,30192315,10.3701885728206
2021,Sul,3478,30402587,11.43981596039837
2022,Sul,3697,29937706,12.34897556947082
