CAUSABAS_3,n,pct,ausente,grupo_cid
X60,226,0.09,FALSE,Intoxicação/Medicamentos
X61,3897,1.62,FALSE,Intoxicação/Medicamentos
X62,1159,0.48,FALSE,Intoxicação/Medicamentos
X63,237,0.1,FALSE,Intoxicação/Medicamentos
X64,5388,2.24,FALSE,Intoxicação/Medicamentos
X65,892,0.37,FALSE,Intoxicação/Medicamentos
X66,265,0.11,FALSE,Solventes/Gases
X67,547,0.23,FALSE,Outros agentes químicos
X68,12150,5.05,FALSE,Outros agentes químicos
X69,6656,2.76,FALSE,Outros agentes químicos
X70,154426,64.13,FALSE,Enforcamento/Arma de fogo
X71,2722,1.13,FALSE,Enforcamento/Arma de fogo
X72,6560,2.72,FALSE,Enforcamento/Arma de fogo
X73,1085,0.45,FALSE,Enforcamento/Arma de fogo
X74,17507,7.27,FALSE,Enforcamento/Arma de fogo
X75,107,0.04,FALSE,Outros meios mecânicos
X76,4015,1.67,FALSE,Outros meios mecânicos
X77,105,0.04,FALSE,Outros meios mecânicos
X78,3888,1.61,FALSE,Outros meios mecânicos
X79,1813,0.75,FALSE,Outros meios mecânicos
X80,8659,3.6,FALSE,Precipitação/Afogamento/Outros
X81,462,0.19,FALSE,Precipitação/Afogamento/Outros
X82,1073,0.45,FALSE,Precipitação/Afogamento/Outros
X83,527,0.22,FALSE,Precipitação/Afogamento/Outros
X84,6436,2.67,FALSE,Precipitação/Afogamento/Outros
