ano,Feminino,Masculino,Total
2000,1382,5396,6778
2001,1560,6177,7737
2002,1694,6028,7722
2003,1604,6256,7860
2004,1706,6311,8017
2005,1805,6744,8549
2006,1805,6834,8639
2007,1872,6996,8868
2008,1953,7375,9328
2009,1872,7500,9372
2010,2073,7375,9448
2011,2089,7762,9851
2012,2257,8061,10318
2013,2223,8309,10532
2014,2233,8419,10652
2015,2396,8780,11176
2016,2378,9053,11431
2017,2664,9826,12490
2018,2729,9999,12728
2019,2919,10599,13518
2020,2964,10868,13832
2021,3431,12064,15495
2022,3553,12908,16461
